Name,Profession,KnownMovie,About
" Jen Landon
",Actress,Yellowstone,"
    Jen Landon was born on August 29, 1983 in Malibu, California, USA as Jennifer Rachel Landon. She is an actress, known for Yellowstone (2018), Animal Kingdom (2016) and Banshee (2013).                 "
" Mary Mouser
",Actress,Alexander,"
    Mary Mouser was born on May 9, 1996 in Pine Bluff, Arkansas, USA as Mary Matilyn Mouser. She is known for her work on Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014), Fainaru fantajî sebun adobento chirudoren (2005) and Son of the Mask (2005).                 "
" Richard Gere
",Actor,Chicago,"
    Humanitarian and actor Richard Gere was born on August 31, 1949, in Philadelphia, the second of five children of Doris Ann (Tiffany), a homemaker, and Homer George Gere, an insurance salesman, both Mayflower descendants. Richard started early as a musician, playing a number of instruments in high ...                 "
" Kiernan Shipka
",Actress,Carriers,"
    Kiernan Brennan Shipka is an American actress. She is known for playing Sally Draper on the AMC series Mad Men (2007), B. D. Hyman in the FX anthology series Feud (2017), and voicing Jinora in the Avatar: The Last Airbender (2005) spin-off, The Legend of Korra (2012). She stars as Sabrina Spellman ...                 "
" Jeremy Strong
",Actor,The,"
    Film work includes Molly's Game, Detroit, The Big Short, The Judge, Selma, Parkland, Lincoln, Zero Dark Thirty.Theater work includes A Man For All Seasons on Broadway and extensive work Off Broadway.Jeremy was recipient of the Lincoln Center Theater Annenberg Fellowship. He studied at Yale, The ...                 "
" Ron Perlman
",Actor,Hand,"
    Ron Perlman is a classically-trained actor who has appeared in countless stage plays, feature films and television productions.Ronald N. Perlman was born April 13, 1950 in Washington Heights, Manhattan, New York. His mother, Dorothy (Rosen), is retired from the City Clerk's Office. His father, ...                 "
" Melissa George
",Actress,Hunted,"
    The second of four children, Australian actress Melissa George was born in Perth, Western Australia in 1976. The daughter of Pamela, a nurse, and Glenn George, a construction worker, Melissa initially expressed interest in various forms of dance rather than acting. During her childhood, George ...                 "
" Léa Seydoux
",Actress,La,"
    French actress Léa Seydoux was born in 1985 in Paris, France, to Valérie Schlumberger, a philanthropist, and Henri Seydoux, a businessman. Her grandfather, Jérôme Seydoux, is chairman of Pathé, and her father is a great-grandson of businessman and inventor Marcel Schlumberger (her mother also ...                 "
" Cara Delevingne
",Actress,Suicide,"
    Cara Jocelyn Delevingne was born in London, England, to Pandora Anne (Stevens) and Charles Hamar Delevingne, a property developer. Her parents are both from prominent upper-class families, with her ancestors including Viscounts (Greenwood), Baronets (Hulton, Faudel-Phillips), Majors and Lord Mayors...                 "
" Nick Offerman
",Actor,Parks,"
    Nick Offerman was born in Joliet, Illinois, USA. He is an actor and producer, known for Parks and Recreation (2009), The Founder (2016), 21 Jump Street (2012), 22 Jump Street (2014), We Are The Millers (2013), and Fargo (2014). He has been married to Megan Mullally since September 20, 2003.                 "
" Sylvia Hoeks
",Actress,Blade,"
    Sylvia Hoeks was born in Maarheeze, a southern town of the Netherlands. At age 14, she was scouted by Elite Models and traveled to many European countries to model. After doing this, she finished high school and attended the Maastricht Theatre Academy.After graduation, she made her national ...                 "
" Sasha Alexander
",Actress,Shameless,"
    Sasha Alexander began acting by the time she was in the seventh grade when she found herself cast as the lead female in her school's production of ""Baby"". What she didn't know was that her male co-star would chicken out on her only a few hours before opening night. Determined to let the show go on,...                 "
" Jona Xiao
",Actress,Raya,"
    This year actress Jona Xiao can be seen in some of the most talked about projects in TV and film. She has quickly become known for her ability to bring characters to life in the comedic world, while seamlessly tapping into her range in dramatic projects. This spring Jona plays Young Namaari in ...                 "
" Gene Hackman
",Actor,The,"
    Eugene Allen Hackman was born in San Bernardino, California, the son of Anna Lyda Elizabeth (Gray) and Eugene Ezra Hackman, who operated a newspaper printing press. He is of Pennsylvania Dutch (German), English, and Scottish ancestry, partly by way of Canada, where his mother was born. After ...                 "
" Meg Ryan
",Actress,When,"
    Blond-haired, blue-eyed with an effervescent personality, Meg Ryan was born Margaret Mary Emily Hyra in Fairfield, Connecticut, to Susan (Duggan), an English teacher and one-time actress, and Harry Hyra, a math teacher. She is of Ruthenian, Polish, Irish, and German ancestry (""Hyra"" is a Ruthenian ...                 "
" Christina Applegate
",Actress,Don't,"
    Christina Applegate was born in Hollywood, Los Angeles, California, to record producer/executive Robert Applegate and singer-actress Nancy Priddy. Her parents split-up shortly after her birth. She has two half-siblings from her father's re-marriage - Alisa (b. October 10, 1977) and Kyle (b. July 15...                 "
" Naomi Scott
",Actress,Aladdin,"
    Naomi Scott is a multi-talented actor, singer and songwriter. She stars as ""Jasmine"" in Disney's blockbuster live action remake Aladdin (2019), alongside Mena Massoud and Will Smith, directed by Guy Ritchie. Disney released the film in May 2019, and it became one of the biggest films of the year....                 "
" Anna Torv
",Actress,Fringe,"
    Anna Torv (born 7 June 1979) is an Australian actress known for her role as FBI agent Olivia Dunham on the Fox television series Fringe (2008-2013). Torv was born in Melbourne, Victoria, the daughter of Susan (née Carmichael) and Hans Torv, also grew up in Gold Coast, Queensland. Her father is of ...                 "
" Chelsea Clark
",Actress,Degrassi:,"
    Chelsea was born in Toronto, Ontario where she took an interest in music at a young age (singing and then piano). While taking lessons she ventured into musical theatre and performed in Legally Blonde, A Christmas Carol, Aladdin and more. Chelsea was also in local operas such as: Carmen, Tosca and ...                 "
" Don Johnson
",Actor,Miami,"
    Best known for his starring role as Det. Sonny Crockett on the hugely successful TV series Miami Vice (1984), Don Johnson is one of the stars who really defined the 1980s. As James ""Sonny"" Crockett he went toe-to-toe with drug dealers, pimps, prostitutes, assassins, illegal arms-dealers and crooked...                 "
" Michael Peña
",Actor,American,"
    Michael Peña was born and raised in Chicago, to Nicolasa, a social worker, and Eleuterio Peña, who worked at a button factory. His parents were originally from Mexico. After graduating from high school, he went to an open casting call for the Peter Bogdanovich feature To Sir, with Love II (1996), ...                 "
" Alicia Silverstone
",Actress,Clueless,"
    Alicia Silverstone was born on October 4, 1976 in San Francisco, California, the youngest of three children. She is the daughter of Didi (Radford), a former flight attendant, and Monty Silverstone, a real estate investor. Her English-born father is from a Jewish family, while her Scottish-born ...                 "
" Jenny Slate
",Actress,Zootopia,"
    Jenny Slate was born on March 25, 1982 in Milton, Massachusetts, USA as Jenny Sarah Slate. She is an actress and writer, known for Zootopia (2016), Obvious Child (2014) and The Secret Life of Pets (2016). She was previously married to Dean Fleischer-Camp.                 "
" Missy Peregrym
",Actress,Stick,"
    Born in Montréal, Québec, Missy lived most of her life in Surrey, British Columbia, with her father, a minister; her mother; and two sisters. She began her career in front of the camera at age 18, when she started modeling. The print advertisements soon turned into commercials for Mercedes Benz, ...                 "
" Eleanor Tomlinson
",Actress,The,"
    Eleanor May Tomlinson was born on the 19th of May 1992 on London, Greater London, England. She moved to Beverley, East Riding of Yorkshire, England, as a small child, and attended Beverley High School as a teenager.She is an English actress who was best known for her TV roles as Isabelle in Jack ...                 "
" Adelaide Kane
",Actress,The,"
    Born in Western Australia in 1990, Adelaide Kane had been acting since she was 6 and got her first major role, in 2006, when she won the role of ""Lolly Allen"" on Neighbours (1985). She entered a Dolly Magazine Competition and won the role in late 2006. When she got the role, she and her family had ...                 "
" Noel Fisher
",Actor,Teenage,"
    Noel Fisher has become one of the entertainment industry's most sought after and versatile performers, bringing to life memorable characters on the big and small screens over the past few years. Fisher's film and television credits include starring as Michelangelo in Paramount Pictures summer hit ""...                 "
" Alison Becker
",Actress,Parks,"
    Alison Helene Becker was born in Allamuchy, New Jersey. After graduating from high school by the age of 16, she attended Georgetown University and because of her fascination with grammar and reading literature, she decided to get a degree in English and eventually graduated cum laude. She then ...                 "
" Maika Monroe
",Actress,It,"
    Santa Barbara-born Maika Monroe's initial desire was to pursue a career in professional freestyle kiteboarding (kite surfer). Following in her father's footsteps, she started the sport at the age of 13. She moved to the Dominican Republic's north coast of Cabarete in her senior year of high school ...                 "
" Josh Duhamel
",Actor,Transformers,"
    Joshua David Duhamel was born in Minot, North Dakota. His mother, Bonny L., is a retired high school teacher, and the Executive Director of Minot's Downtown Business & Profession Association, and his father, Larry Duhamel, is an advertisement salesman. Josh has three younger sisters: Ashlee, ...                 "
" Piper Perabo
",Actress,Coyote,"
    Piper Perabo is a Golden Globe nominated film, stage and TV actor. Born in Dallas, Texas, and raised in New Jersey, she graduated summa cum Laude from Ohio University. In 2000 she was cast in a breakout role in Coyote Ugly. Since then she has been seen in such films as Christopher Nolan's ""The ...                 "
" Tobias Santelmann
",Actor,Kon-Tiki,"
    Tobias Santelmann is a Norwegian actor who was born in Freiburg, Germany. His family moved to Norway when he was one year old. He grew up in the far south of Norway (Lindesnes) and moved to Oslo when he was 16 years old.Tobias Santelmann graduated from The Oslo National Academy of Dramatic Arts (...                 "
" Allison Janney
",Actress,The,"
    Allison Janney is an award-winning actress who has earned a solid reputation in stage productions and in many supporting roles on screen, and who more recently has become prominent by portraying one of the major characters in the popular TV series The West Wing (1999).Entertainment Weekly magazine ...                 "
" Alyssa Milano
",Actress,Commando,"
    Alyssa Milano comes from an Italian-American family; her mother Lin Milano is a fashion designer and father Thomas Milano is a film music editor. Alyssa was born in a working-class neighborhood in Brooklyn and grew up in a modest house on Staten Island. One day her babysitter, who was an aspiring ...                 "
" Jessica Collins
",Actress,Zero,"
    Jessica Collins was born on March 8, 1983 in San Antonio, Texas, USA as Jessica Ann Collins. She is an actress, known for Zero Dark Thirty (2012), Person of Interest (2011) and Free State of Jones (2016).                 "
" John Cusack
",Actor,Grosse,"
    John Cusack is, like most of his characters, an unconventional hero. Wary of fame and repelled by formulaic Hollywood fare, he has built a successful career playing underdogs and odd men out--all the while avoiding the media spotlight. John was born in Evanston, Illinois, to an Irish-American ...                 "
" Emilio Estevez
",Actor,The,"
    Emilio Estevez was born on May 12, 1962, in New York City. He is the eldest son of actor Martin Sheen, who at the time was just breaking into the business. His mother, Janet Sheen (née Templeton), was a former New York art student who had met Emilio's father right after he had moved to Manhattan. ...                 "
" Robert Redford
",Actor,The,"
    Charles Robert Redford, Jr. was born on August 18, 1936, in Santa Monica, California, to Martha (Hart), from Texas, and Charles Robert Redford, an accountant for Standard Oil, who was originally from Connecticut. He is of English, Scottish, Cornish, and Irish ancestry. Robert's mother died in 1955,...                 "
" Hilary Swank
",Actress,Million,"
    Hilary was born in Lincoln, Nebraska, to Judith Kay (Clough), a secretary, and Stephen Michael Swank, who served in the National Guard and was also a traveling salesman. Her maternal grandmother, Frances Martha Dominguez, was of Mexican descent, and her other roots include German, English, and ...                 "
" Sophie Rundle
",Actress,Peaky,"
    Sophie Rundle is an English actress. Born on 21 April 1988 to Fiona and Michael Rundle, she has two brothers James and Henry. She attended the Bournemouth School for Girls before going on to the Royal Academy of Dramatic Art, where she graduated in 2011 with a BA in Acting.Upon graduation, she ...                 "
" Jeff Bridges
",Actor,The,"
    Jeffrey Leon Bridges was born on December 4, 1949 in Los Angeles, California, the son of well-known film and TV star Lloyd Bridges and his long-time wife Dorothy Dean Bridges (née Simpson). He grew up amid the happening Hollywood scene with big brother Beau Bridges. Both boys popped up, without ...                 "
" Anna Faris
",Actress,The,"
    Anna Kay Faris was born on November 29, 1976 in Baltimore, Maryland, to Karen (Bathurst), a special education teacher, and Jack Faris, a sociologist. She was raised in Edmonds, Washington. Her ancestry includes English, German, Scottish, French, Dutch, and Welsh.Anna started acting very young but ...                 "
" Stacey Dash
",Actress,Clueless,"
    Stacey Dash was born in the Bronx, New York. Stacy knew that she wanted to act, and from an early age began to act professionally. She made regular appearances on The Cosby Show (1984), The Fresh Prince of Bel-Air (1990), and also St. Elsewhere (1982). At 21 she made her feature film debut in Enemy...                 "
" Mireille Enos
",Actress,If,"
    Mireille Enos was born in Houston, Texas, to Monique, a teacher, and Jon Goree Enos. Her Texas-born American father, and French mother, met while her father was serving on a Mission for the Church of Jesus Christ of Latter Day Saints. She is the fourth of five children and grew up in Houston, Texas...                 "
" Sophia Lillis
",Actress,It,"
    Sophia Lillis was born in Crown Heights, Brooklyn. She started her acting career at the age of seven, when her stepfather encouraged her to take acting classes at Lee Strasberg Theatre and Film Institute in Manhattan. While studying there, a teacher recommended her for a role in an NYU student film...                 "
" Alison Pill
",Actress,Scott,"
    Alison is a Canadian born TV, film and theater actress.She was born in Toronto, Ontario. Her father, who is Estonian, is a financier. She attended Vaughan Road Academy, and decided she wanted to be an actor when she was age 10. She was a member of the Toronto Children's Chorus and was chosen to ...                 "
" Sherilyn Fenn
",Actress,Wild,"
    The sultry, versatile, petite (5' 4"") beauty Sherilyn Fenn was born Sheryl Ann Fenn in Detroit, Michigan, into a family of musicians. The youngest of three children, her mother, Arlene Quatro, played keyboard in rock bands, her aunt is rock-star Suzi Quatro, and her grandfather, Art Quatro, was a ...                 "
" Ruth Wilson
",Actress,Luther,"
    Ruth Wilson, born on 13 January 1982, is an English actress. She is known for her performances in Suburban Shootout (2006), Jane Eyre (2006), and as ""Alice Morgan"" in the BBC-TV psychological crime drama, Luther (2010), since 2010. She has also appeared in Anna Karenina (2012), The Lone Ranger (...                 "
" Jessica Amlee
",Actress,Heartland,"
    Jessica Amlee is an actress known for television (Heartland, Greenhouse Academy) and film (Beneath, Love Crimes of Gillian Guess.) Jessica started her career at a young age, in Vancouver, Canada, where she was born. Jessica currently resides in Los Angeles, where she continues her studies in acting...                 "
" Pauley Perrette
",Actress,NCIS:,"
    Pauley Perrette is known to millions around the world as Abby Sciuto, the brilliant but offbeat forensic scientist on CBS's NCIS: Naval Criminal Investigative Service (2003), the #1-rated drama in the world. Her additional credits include appearances on such shows as Almost Famous (2000), The Ring ...                 "
" Sandra Oh
",Actress,Killing,"
    Sandra Oh was born to Korean parents in the Ottawa suburb of Nepean, Ontario, Canada. Her father, Oh Junsu, a businessman, and her mother, Oh Young-Nam, a biochemist, were married in Seoul, Korea. They both attended graduate school at the University of Toronto. Sandra began her career as a ballet ...                 "
" Lisa Dwan
",Actress,Top,"
    Lisa Dwan was born in 1978 in Coosan, Athlone, County Westmeath, Ireland. She is an actress and writer, known for Top Boy (2011).                 "
" Jude Law
",Actor,The,"
    Jude Law is an English actor. Law has been nominated for two Academy Awards and continues to build a prolific body of work that spans from early successes such as Gattaca (1997) and The Talented Mr. Ripley (1999) to more recent turns as Dr. John Watson in Sherlock Holmes (2009) and Sherlock Holmes:...                 "
" Joseph Gilgun
",Actor,Lockout,"
    Joseph Gilgun was born on March 9, 1984 in Chorley, Lancashire, England. He is an actor who first appeared in Coronation Street (1960) when he was only ten years old. Later he became known through Emmerdale Farm (1972) and the film This Is England (2006). He also appeared in its spin-off series ...                 "
" Elise Eberle
",Actress,Salem,"
    Elise Eberle was born on March 6, 1993 in Albuquerque, New Mexico, USA as Elise K. Eberle. She is an actress, known for Salem (2014), The Last Tycoon (2016) and Breathe In (2013).                 "
" Rupert Grint
",Actor,Harry,"
    Rupert Alexander Lloyd Grint was born in Harlow, Essex, England, the elder son of Joanne (Parsons) and Nigel Grint, who dealt in memorabilia. The first of 5 children, Rupert has one brother and 3 sisters. His brother James was born when Rupert was a year old, Georgina and Samantha were born in 1993...                 "
" Alisha Newton
",Actress,Heartland,"
    Born and raised in Vancouver Canada, Alisha Newton has been appearing in TV and film for over a decade and has been seen in well over 100 hours of prime time television. Her first big role came as a series regular for ""The Wyoming Story"", an Amy Sherman-Palladino pilot for CW/WarnerBros. ...                 "
" Laura Linney
",Actress,The,"
    Laura Leggett Linney was born in New York City on February 5, 1964, into a theatre family. Her father was prominent playwright Romulus Linney, whose own great-grandfather was a congressman from North Carolina. Her mother, Miriam Anderson (Leggett), is a nurse. Although she did not live in her ...                 "
" Halle Berry
",Actress,Catwoman,"
    Halle Maria Berry was born Maria Halle Berry on August 14, 1966 in Cleveland, Ohio & raised in Bedford, Ohio. Halle was born to Judith Ann Hawkins, a psychiatric nurse & Jerome Jesse Berry, a hospital attendant. Halle first came into the spotlight at seventeen years when she won the Miss Teen ...                 "
" Diane Kruger
",Actress,Inglourious,"
    Diane Kruger was born Diane Heidkrüger in Algermissen, near Hildesheim, Germany, to Maria-Theresa, a bank employee, and Hans-Heinrich Heidkrüger, a computer specialist. She studied ballet with the Royal Ballet in London before an injury ended her career. She returned to Germany and became a top ...                 "
" Robert Sheehan
",Actor,The,"
    Robert Sheehan is an Irish actor. He was born in Portlaoise, County Laois, the son of Joe and Maria Sheehan. His father was a member of the Garda Síochána, the police force of the Republic of Ireland.As a child, Sheehan was interested in performing music. He learned how to play the banjo, the ...                 "
" Courteney Cox
",Actress,Friends,"
    Courteney Cox was born on June 15th, 1964 in Birmingham, Alabama, into an affluent Southern family. She is the daughter of Courteney (Bass) and Richard Lewis Cox (1930-2001), a businessman. She was the baby of the family with two older sisters (Virginia and Dottie) and an older brother, Richard, Jr...                 "
" Wyatt Russell
",Actor,Overlord,"
    Wyatt Russell was born on July 10, 1986 in Los Angeles, California, USA as Wyatt Hawn Russell. He is an actor, known for Overlord (2018), Everybody Wants Some!! (2016) and 22 Jump Street (2014). He has been married to Meredith Hagner since August 31, 2019. He was previously married to Sanne Hamers.                 "
" Jake Johnson
",Actor,Safety,"
    Jake Johnson (born Mark Jake Johnson Weinberger; May 28, 1978) is an American actor, comedian and director, most commonly known for playing Nick Miller in the Fox comedy series New Girl opposite Zooey Deschanel, for which he has received a Teen Choice Award nomination among others. Johnson also ...                 "
" Katherine LaNasa
",Actress,The,"
    Actress, former ballet dancer and choreographer Katherine LaNasa was born in New Orleans, Louisiana and originally trained as a ballet dancer, but had attended the North Carolina School of Arts, in Winston-Salem, North Carolina, as well as the Neighbourhood Playhouse in New York. In 1989, she ...                 "
" Toni Collette
",Actress,The,"
    Toni Collette is an Academy Award-nominated Australian actress, best known for her roles in The Sixth Sense (1999) and Little Miss Sunshine (2006).Collette was born Toni Collett (she later added an ""e"") on November 1, 1972, in Blacktown, Sydney, New South Wales, Australia. She is the first of three...                 "
" Jordan Peele
",Writer,Get,"
    Jordan Haworth Peele attended Sarah Lawrence College as a member of the class of 2001. His mother is white and his father is black. Jordan is married to comedian Chelsea Peretti, with whom he has a son.He is known for co-writing and starring in the comedy Keanu (2016), opposite his close friend ...                 "
" Jared Padalecki
",Actor,Supernatural,"
    Jared Padalecki was born in San Antonio, Texas, to Sherri (Kammer), a teacher of English, and Gerald Padalecki, a tax accountant. He is of Polish (father) and German, English, Scottish, and French (mother) descent. Jared started to take acting lessons when he was 12. Then, he won the ""Claim to Fame...                 "
" Kevin Durand
",Actor,I,"
    Kevin Durand was born on January 14, 1974 in Thunder Bay, Ontario, Canada as Kevin Serge Durand. He is an actor, known for I Am Number Four (2011), X-Men Origins: Wolverine (2009) and Robin Hood (2010). He has been married to Sandra Cho since October 1, 2010.                 "
" Merritt Wever
",Actress,Signs,"
    Merritt Wever is an American actress, who earned an Emmy Award for playing the character Zoey on the Showtime series Nurse Jackie. She appeared in the films Birdman, Into the Wild, Neal Cassady, Michael Clayton, Series 7: The Contenders, Signs, The Adventures of Sebastian Cole, Bringing Rain, All I...                 "
" Jessica Henwick
",Actress,Love,"
    Jessica Yu Li Henwick is an English actress. She is best known for her roles as Nymeria Sand in the HBO series Game of Thrones (2011), X-wing pilot Jessika Pava in Star Wars: The Force Awakens, and Colleen Wing in the Marvel Cinematic Universe, making her debut in the Netflix television series Iron...                 "
" Jennifer Lopez
",Actress,Gigli,"
    Jennifer Lynn Lopez was born on July 24, 1969 in The Bronx, New York City, New York to Lupe López & David López. The two were brought to the continental United States during their childhoods and, eventually, met while living in New York City.Jennifer always dreamed of being a multi-tasking ...                 "
" David Lynch
",Writer,Twin,"
    Born in precisely the kind of small-town American setting so familiar from his films, David Lynch spent his childhood being shunted from one state to another as his research scientist father kept getting relocated. He attended various art schools, married Peggy Lynch and then fathered future ...                 "
" Lucas Black
",Actor,Sling,"
    Lucas York Black was born on November 29, 1982, in Decatur, Alabama, to Jan (Keenum), an office worker, and Larry Black, a museum worker. Without any formal acting lessons, Lucas made his film debut with a small part in the Kevin Costner film The War (1994) at the age of 11. The small role helped ...                 "
" Marion Cotillard
",Actress,La,"
    Academy Award-winning actress Marion Cotillard was born on September 30, 1975 in Paris. Cotillard is the daughter of Jean-Claude Cotillard, an actor, playwright and director, and Niseema Theillaud, an actress and drama teacher. Her father's family is from Brittany.Raised in Orléans, France, she ...                 "
" Lacey Chabert
",Actress,Mean,"
    Lacey Nicole Chabert was born in Purvis, Mississippi, to Julie (Johnson) and Tony Chabert, a representative for an oil company. She is of Cajun (French), Italian, English, and Scottish ancestry. Chabert started in drama and music performances in and around her hometown in Mississippi from an early ...                 "
" Sam Raimi
",Director,Spider-Man,"
    Highly inventive U.S. film director/producer/writer/actor Sam Raimi first came to the attention of film fans with the savage, yet darkly humorous, low-budget horror film, The Evil Dead (1981). From his childhood, Raimi was a fan of the cinema and, before he was ten-years-old, he was out making ...                 "
" Michael Keaton
",Actor,Birdman,"
    Quirky, inventive and handsome American actor Michael Keaton first achieved major fame with his door-busting performance as fast-talking ideas man Bill Blazejowski, alongside a nerdish morgue attendant (Henry Winkler), in Night Shift (1982). He played further comedic roles in Mr. Mom (1983), Johnny...                 "
" Kristin Kreuk
",Actress,EuroTrip,"
    Kristin Kreuk was born in Vancouver, British Columbia, Canada, to Deanna Che, who is of Chinese ancestry, and Peter Kreuk, who is of Dutch descent. Her parents are landscape architects. She attended and graduated from Eric Hamber Secondary School. Although she did some stage work in school, she ...                 "
" Chad Michael Murray
",Actor,One,"
    Chad Michael Murray has showcased his brooding good looks and acting talent on television sets and silver screens for two decades. The 6-foot tall star, who resides in Wilmington, North Carolina, is known to audiences of One Tree Hill (2003), where he played the good son, Lucas Scott. The ...                 "
" Shohreh Aghdashloo
",Actress,House,"
    Shohreh Aghdashloo was born Shohreh Vaziri-Tabar on May 11, 1952 in Tehran, Iran. In the 1970s at age 20, she achieved nationwide stardom in her homeland of Iran, starring in some prominent pictures such as Gozaresh (1977) directed by the renowned Abbas Kiarostami, which won critics awards at the ...                 "
" Laura Dern
",Actress,Jurassic,"
    Laura Dern was born on February 10, 1967 in Los Angeles, the daughter of actors Bruce Dern and Diane Ladd. Dern was exposed to movie sets and the movie industry from infancy, and obtained several bit parts as a child. Her parents divorced when Dern was two and Dern lost contact with her father for ...                 "
" Domhnall Gleeson
",Actor,Ex,"
    Domhnall Gleeson is an Irish actor and writer. He is best known for his portrayal of Bill Weasley in the Harry Potter film franchise (2010-2011), About Time (2013), Ex Machina (2015) and The Revenant (2015).He is the son of actor Brendan Gleeson, alongside whom he has appeared in several films and ...                 "
" Katie Aselton
",Actress,The,"
    Katie Aselton was born on October 1, 1978 in Milbridge, Maine, USA as Kathryn Anne Aselton. She is an actress, known for The Freebie (2010), Legion (2017) and Black Rock (2012). She has been married to Mark Duplass since August 26, 2006. They have two children.                 "
" Ian Hart
",Actor,Harry,"
    Ian Hart, born in England, began acting while a student in Liverpool, England, United Kingdom. He stumbled into acting almost accidentally, but was cast in the play ""The Government Inspector"". He continued to work in British theatre and television, and first gained recognition for portraying John ...                 "
" Vanessa Hudgens
",Actress,High,"
    Vanessa Anne Hudgens was born in Salinas, California. Her family moved to San Diego, California, while she was still a toddler. She has a younger sister, Stella Hudgens, who is also an actress. Her mother, Gina Hudgens (née Guangco), an office worker, is from the Philippines. Her father, Greg ...                 "
" Sarah Rafferty
",Actress,Tremors,"
    Sarah Rafferty's character Donna on USA network's hit show ""Suits"" is one of the most formidable minds at their law firm, Pearson Hardman. With her razor sharp wit and knowledge of all the firm's happenings, Donna is admired and feared by everyone there, and she's not afraid to wield that power ...                 "
" Hayden Panettiere
",Actress,Heroes,"
    Hayden Lesley Panettiere was born on August 21, 1989 in Palisades, New York, to actress Lesley Vogel and fire department captain Skip Panettiere. Her younger brother is actor Jansen Panettiere. Her parents are both of half Italian descent, along with German and English. Her mother got her started ...                 "
" Adam Scott
",Actor,Step,"
    Adam Scott was born in Santa Cruz, California, the son of Anne and Dougald Scott. He has two older siblings, Shannon and David. Scott has said that his brother David ""looks like me but is far more cerebral and inherited the intellect of our parents,"" both of whom are retired teachers. He graduated ...                 "
" Lauren Holly
",Actress,Dumb,"
    Born in Bristol, Pennsylvania, the daughter of two college professors, Lauren Michael Holly grew up in the upstate New York town of Geneva. Her childhood was split between experiences that contrasted. She was privy to the shelter of growing up in a rural town and also exposed due to the erudite ...                 "
" Matt Smith
",Actor,Doctor,"
    Matt Smith is an English actor who shot to fame in the UK aged 26 when he was cast by producer Steven Moffat as the Eleventh Doctor in the BBC's iconic science-fiction adventure series Doctor Who (2005).Matthew Robert Smith was born and raised in Northampton, the son of Lynne (Fidler) and David ...                 "
" Simon Baker
",Actor,Margin,"
    Simon Baker was first recognized in 1992, when he received Australia's prestigious Logie award for Most Popular New Talent. Upon relocating to Los Angeles with his family, Baker was immediately cast in the Academy Award winning film L.A. Confidential (1997).                 "
" Mark McKinney
",Actor,The,"
    Mark was born to Canadian diplomat Russell and architectural writer Chloe McKinney. Mark and his siblings spent much time traveling with their diplomat dad, and Mark attended schools in many cities around the world, including Trinidad, Paris, and Washington, D.C. His younger brother Nick is also a ...                 "
" Michael Cera
",Actor,Superbad,"
    Canadian actor Michael Cera was born in Brampton, Ontario, to parents who worked for Xerox. His mother, Linda, who is from Quebec, has English, Irish, Scottish, and Dutch ancestry, and his father, Luigi Cera, is Italian (from Sicily). Michael is the middle child between two sisters. He was educated...                 "
" Claudia Black
",Actress,Farscape:,"
    Claudia Lee Black was born and raised in Sydney, Australia. Her parents Jules and Judy Black are both Australian Medical Academics Doctors. She has lived in Australia, New Zealand, England and the US. Throughout her career Black has played in many Australian and New Zealand films and guested on ...                 "
" Martin Freeman
",Actor,Black,"
    Martin Freeman is an English actor, known for portraying Bilbo Baggins in Peter Jackson's The Hobbit film trilogy, Tim Canterbury in the original UK version of sitcom mockumentary The Office (2001), Dr. John Watson in the British crime drama Sherlock (2010) and Lester Nygaard in the dark ...                 "
" Wes Bentley
",Actor,American,"
    Wes Bentley is an American actor who first became well-known via his role in the Oscar-winning film American Beauty (1999), in which he played the soulful, artistic next-door neighbor Ricky Fitts. He also portrayed gamemaker Seneca Crane in The Hunger Games (2012), and co-stars in Lovelace (2013) as...                 "
" Michael Caine
",Actor,The,"
    Michael Caine was born Maurice Joseph Micklewhite in London, to Ellen Frances Marie (Burchell), a charlady, and Maurice Joseph Micklewhite, a fish-market porter. He left school at age 15 and took a series of working-class jobs before joining the British army and serving in Korea during the Korean ...                 "
" Ralph Macchio
",Actor,The,"
    Ralph George Macchio was born on November 4, 1961 in Huntington, Long Island, New York. He started out in various TV commercials in the late 1970s before appearing in the puerile comedy movie Up the Academy (1980), then a regular role in 1980 on the television series Eight Is Enough (1977) followed...                 "
" Jessica Alba
",Actress,Fantastic,"
    Jessica Marie Alba was born on April 28, 1981, in Pomona, CA, to Catherine (Jensen) and Mark David Alba, who served in the US Air Force. Her father is of Mexican descent (including Spanish and Indigenous Mexican roots), and her mother has Danish, Welsh, English, and French ancestry. Her family ...                 "
" Anya Chalotra
",Actress,The,"
    Anya Chalotra (born in 1996) is an English actress known for playing Jennifer Ashman in the British TV show Wanderlust (2018) and for her role as Yennefer of Vengerberg in the Netflix series The Witcher (2019).Chalotra was born in a British-Indian family. Her father is of Indian descent while her ...                 "
" Kim Cattrall
",Actress,Sex,"
    Kim Victoria Cattrall was born on August 21, 1956 in Mossley Hill, Liverpool, England to Gladys Shane (Baugh), a secretary, and Dennis Cattrall, a construction engineer. At the age of three months, her family immigrated to Canada, where a large number of her films have been made. At age 11, she ...                 "
" Melanie Lynskey
",Actress,Togetherness,"
    At 16 years of age, Melanie Lynskey captivated audiences with her astonishing debut in Peter Jackson's Heavenly Creatures (1994). Her portrayal of an outcast teen whose relationship with her best friend (Kate Winslet) spirals dangerously out of control was described as ""perfect"" by TIME magazine ...                 "
